10-10-2021 20:47:53,INFO,Reading The File Path No. d2p12F And Shape Is (82, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p13F And Shape Is (740, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p14F And Shape Is (2382, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p15F And Shape Is (2529, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p16F And Shape Is (1213, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p17F And Shape Is (1976, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p18M And Shape Is (534, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p19M And Shape Is (570, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p20M And Shape Is (1066, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p21M And Shape Is (1102, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p22M And Shape Is (737, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p23F And Shape Is (204, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p24F And Shape Is (615, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p25F And Shape Is (202, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p26F And Shape Is (231, 9)
10-10-2021 20:47:53,INFO,Reading The File Path No. d2p27F And Shape Is (178, 9)
